date,streamflow,rainfall1,rainfall2,rainfall3,rainfall4,rainfall5,rainfall6,rainfall7,rainfall8,rainfall9,rainfall10,rainfall11
1981062717,7.04125,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1981062718,6.9325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981062719,6.82375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981062720,6.715,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1981062721,6.60625,0.0,5.7,0.0,4.4,0.0,0.25,7.8,0.0,0.95,1.2,12.9
1981062722,6.4975,0.0,0.0,0.0,5.2,0.0,0.25,0.1,0.1,0.95,0.0,0.0
1981062723,6.38875,0.0,0.1,0.0,0.0,0.0,11.2,0.0,8.1,0.0,0.0,0.0
1981062800,6.28,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.366666667,0.0,0.0,0.0
1981062801,6.315,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.366666667,0.0,0.0,0.0
1981062802,6.35,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.366666667,0.0,0.0,0.0
1981062803,6.385,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0
1981062804,6.42,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.05,0.0
1981062805,6.455,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.133333333,0.0,0.05,0.6
1981062806,6.49,0.0,0.1,0.6,0.0,0.0,0.8,0.0,0.133333333,0.1,0.05,0.0
1981062807,6.525,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.133333333,0.0,0.05,0.7
1981062808,6.56,0.0,0.0,0.0,0.0,0.0,0.8,0.5,4.2,0.1,0.05,0.7
1981062809,6.595,0.0,8.3,0.0,0.5,0.0,6.7,4.7,8.8,0.766666667,0.7,5.4
1981062810,6.63,0.0,1.4,0.0,0.5,0.0,9.3,4.7,7.7,0.766666667,0.7,1.0
1981062811,6.665,0.0,7.8,0.0,0.5,0.0,15.5,4.7,18.8,0.766666667,0.7,6.65
1981062812,6.7,0.0,0.4,0.0,3.4,0.0,12.7,6.5,14.6,7.8,0.7,6.65
1981062813,7.766666667,0.0,6.0,0.1,2.3,0.0,7.5,6.5,8.9,2.3,0.7,12.7
